X,Y,station_id,station name,state,timezone,daytimesaving,elevation,ID,GYGA_CZ,GID_0
-119.58,46.58,KHMS,Hanford,WA,P,y,731.627,24769,"4002",USA
-119.261,45.826,KHRI,Hermiston (was S22),OR,P,y,639.764,24769,"4002",USA
-119.12,46.27,KPSC,Pasco/Tri-Cities,WA,P,y,430.118,24769,"4002",USA
